tag,top,level,used_by,count_per_stack,period_ps,f_ghz,area_um2,slack_ps,violations,power_mw
gemv_flop_p1501,gemv_unit,bank,attacc,1024,1502.0,0.666,5844.189,65.7,0,30.7663
gemv_flop_p769,gemv_unit,bank,fugue+fugue_rope,1024,769.0,1.3,6478.113,0.5,0,55.1532
accbg_attacc_p1501,accumulator_bg,bank_group,attacc,256,1502.0,0.666,163.179,313.9,0,1.1123
accbuf_attacc_p1501,accum_buffer_bg_attacc,bank_group,attacc,256,1502.0,0.666,62.023,960.1,0,0.3323
accbg_fugue_p769,accumulator_bg,bank_group,fugue+fugue_rope,256,769.0,1.3,249.77,146.5,0,2.252
accbuf_fugue_p769,accum_buffer_bg_fugue,bank_group,fugue+fugue_rope,256,769.0,1.3,250.718,182.5,0,48.5735
sfmarray_attacc_p769,sfm_array_attacc,logic_die,attacc,1,769.0,1.3,573089.586,0.0,0,50991.2
sfmarray_fugue_p769,sfm_array_fugue,logic_die,fugue+fugue_rope,1,769.0,1.3,1578384.728,0.0,0,99208.2
acclogic_p1501,accumulator_logic,logic_die,attacc+fugue+fugue_rope,16,1502.0,0.666,967.368,49.6,0,6.5244
diffdec_p1501,diff_decoder_channel_dc_top,logic_die,fugue+fugue_rope,16,1502.0,0.666,1543.278,0.2,0,4.7543
causal_p1501,causal_comparator,logic_die,fugue+fugue_rope,16,1502.0,0.666,29.291,798.8,0,0.1117
rope_p1501,rotate_q_bf16,logic_die,fugue_rope,1,1502.0,0.666,4392.998,0.0,0,28.4345
ctrl_attacc_p1501,attacc_hbm_ctrl_top,hbm_controller,attacc,1,1502.0,0.666,2086.879,0.0,0,7.2088
ctrl_fugue_p1501,fugue_hbm_ctrl_top,hbm_controller,fugue+fugue_rope,1,1502.0,0.666,5773.782,0.0,0,18.2421
