tag,period_ps,met,f_ghz,p_mw,e_pj,e_hat,e_op_cal,i_cp,i_pw,i_eff
mq16x2_2500ps,2500.0,True,0.4,44.9139,112.28474999999999,1.0775510262836279,5.634298806231833,27,7.637167070462319,27
mq16x2_2000ps,2000.0,True,0.5,53.9329,107.8658,1.0351441624165754,5.412561796443789,21,7.5642816090339835,21
mq16x2_1500ps,1500.0,True,0.6666666666666666,69.46910000000001,104.20365000000002,1.0,5.2288,16,7.503878686943945,16
mq16x2_1250ps,1250.0,True,0.8,79.9753,99.969125,0.9593629877648238,5.016317190424711,14,7.434035102256447,14
mq16x2_1000ps,1000.0,True,1.0,100.637,100.637,0.9657723121982769,5.04983026602235,11,7.445050926728651,11
mq16x2_833ps,833.0,True,1.2004801920768307,113.93100000000001,94.90452300000001,0.9107600645466832,4.762182225501697,9,7.350500358998234,9
mq16x2_769ps,769.0,True,1.3003901170351104,130.11,100.05459000000002,0.960183160570671,5.020605709991925,8,7.43544474843053,8
mq16x2_667ps,667.0,True,1.4992503748125936,145.726,97.19924200000001,0.9327815484390422,4.877328160478063,7,7.38834909074749,8
mq16x2_588ps,588.0,True,1.7006802721088434,151.961,89.35306800000001,0.8574850113215803,4.483617627198279,7,7.258935539465621,8
mq16x2_500ps,500.0,True,2.0,174.961,87.4805,0.8395147386871764,4.389654665647508,6,7.228049699450248,8
mq16x2_435ps,435.0,True,2.2988505747126435,194.24,84.49440000000001,0.810858352850404,4.239816155384192,5,7.178797438987658,8
mq16x2_385ps,385.0,True,2.5974025974025974,214.46499999999997,82.569025,0.792381312938654,4.143203409093633,5,7.147040608677838,8
mq16x2_300ps,300.0,False,2.9446407538280326,250.94,85.21922400000001,0.8178141936486869,4.276186855750254,4,7.1907525712463025,8
mq16x2_333ps,333.0,True,3.003003003003003,224.758,74.84441400000001,0.718251366434861,3.7555927448146007,4,7.019632098264868,8
